scenario,group,seed,pop,trait,n_gwas,rg,frac_shared_causal,n_pop,n_trait,rho_pheno,h2,method,phi_mode,phi,corr,time_s
h2_0.1,h2_sweep,18,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.41301642552980256,49.7
h2_0.1,h2_sweep,18,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8706018926964573,73.7
h2_0.1,h2_sweep,18,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.8083190063876194,49.7
h2_0.1,h2_sweep,18,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.6318063188059662,73.7
h2_0.1,h2_sweep,18,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.4196159729862904,49.7
h2_0.1,h2_sweep,18,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8598010770878763,70.5
h2_0.1,h2_sweep,18,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7782713308948986,49.7
h2_0.1,h2_sweep,18,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6004046895299027,70.5
h2_0.1,h2_sweep,18,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.46156181672245117,49.7
h2_0.1,h2_sweep,18,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8655285848634833,70.5
h2_0.1,h2_sweep,18,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7921474757521019,49.7
h2_0.1,h2_sweep,18,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6412981129955712,70.5
h2_0.1,h2_sweep,18,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.5010420877908321,49.7
h2_0.1,h2_sweep,19,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8618081785274702,73.5
h2_0.1,h2_sweep,19,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.795372446970123,50.5
h2_0.1,h2_sweep,19,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5668742510746817,73.5
h2_0.1,h2_sweep,19,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.4328594342463786,50.5
h2_0.1,h2_sweep,19,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8608502018147564,73.5
h2_0.1,h2_sweep,19,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7735084999357826,50.5
h2_0.1,h2_sweep,19,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5932499249959556,73.5
h2_0.1,h2_sweep,19,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.43546152170323654,50.5
